column,start,length
AGE,0,3
AGEDAY,3,3
AMONTH,6,2
ASOURCE,8,2
ASOURCEUB92,10,1
ASOURCE_X,11,3
ATYPE,14,2
AWEEKEND,16,2
DIED,18,2
DISCWT,20,11
DISPUB04,31,2
DISPUNIFORM,33,2
DQTR,35,2
DQTR_X,37,2
DRG,39,3
DRG24,42,3
DRGVER,45,2
DRG_NoPOA,47,3
DSHOSPID,50,17
DX1,67,5
DX2,72,5
DX3,77,5
DX4,82,5
DX5,87,5
DX6,92,5
DX7,97,5
DX8,102,5
DX9,107,5
DX10,112,5
DX11,117,5
DX12,122,5
DX13,127,5
DX14,132,5
DX15,137,5
DX16,142,5
DX17,147,5
DX18,152,5
DX19,157,5
DX20,162,5
DX21,167,5
DX22,172,5
DX23,177,5
DX24,182,5
DX25,187,5
DXCCS1,192,3
DXCCS2,195,3
DXCCS3,198,3
DXCCS4,201,3
DXCCS5,204,3
DXCCS6,207,3
DXCCS7,210,3
DXCCS8,213,3
DXCCS9,216,3
DXCCS10,219,3
DXCCS11,222,3
DXCCS12,225,3
DXCCS13,228,3
DXCCS14,231,3
DXCCS15,234,3
DXCCS16,237,3
DXCCS17,240,3
DXCCS18,243,3
DXCCS19,246,3
DXCCS20,249,3
DXCCS21,252,3
DXCCS22,255,3
DXCCS23,258,3
DXCCS24,261,3
DXCCS25,264,3
ECODE1,267,5
ECODE2,272,5
ECODE3,277,5
ECODE4,282,5
ELECTIVE,287,2
E_CCS1,289,4
E_CCS2,293,4
E_CCS3,297,4
E_CCS4,301,4
FEMALE,305,2
HCUP_ED,307,3
HOSPBRTH,310,2
HOSPID,312,5
HOSPST,317,2
KEY,319,14
LOS,333,5
LOS_X,338,6
MDC,344,2
MDC24,346,2
MDC_NoPOA,348,2
MDNUM1_R,350,5
MDNUM2_R,355,5
NCHRONIC,360,2
NDX,362,2
NECODE,364,3
NEOMAT,367,2
NIS_STRATUM,369,4
NPR,373,2
ORPROC,375,2
PAY1,377,2
PAY1_X,379,10
PAY2,389,2
PAY2_X,391,10
PL_NCHS2006,401,3
PR1,404,4
PR2,408,4
PR3,412,4
PR4,416,4
PR5,420,4
PR6,424,4
PR7,428,4
PR8,432,4
PR9,436,4
PR10,440,4
PR11,444,4
PR12,448,4
PR13,452,4
PR14,456,4
PR15,460,4
PRCCS1,464,3
PRCCS2,467,3
PRCCS3,470,3
PRCCS4,473,3
PRCCS5,476,3
PRCCS6,479,3
PRCCS7,482,3
PRCCS8,485,3
PRCCS9,488,3
PRCCS10,491,3
PRCCS11,494,3
PRCCS12,497,3
PRCCS13,500,3
PRCCS14,503,3
PRCCS15,506,3
PRDAY1,509,3
PRDAY2,512,3
PRDAY3,515,3
PRDAY4,518,3
PRDAY5,521,3
PRDAY6,524,3
PRDAY7,527,3
PRDAY8,530,3
PRDAY9,533,3
PRDAY10,536,3
PRDAY11,539,3
PRDAY12,542,3
PRDAY13,545,3
PRDAY14,548,3
PRDAY15,551,3
PointOfOriginUB04,554,1
PointOfOrigin_X,555,8
RACE,563,2
TOTCHG,565,10
TOTCHG_X,575,15
TRAN_IN,590,2
YEAR,592,4
ZIPINC_QRTL,596,2
